epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1733,0.92975,2.17302,0.97146,0.88522,0.50705,0.89646,0.76193,0.63936,2.09975,0.84208,0.000329502,0.000329502,0.000329502
2,32.4558,0.89893,0.93069,0.94802,0.91961,0.9466,0.94179,0.76807,0.73169,0.84002,0.87538,0.000630025,0.000630025,0.000630025
3,47.4966,0.88096,0.85923,0.95309,0.91654,0.98292,0.95079,0.71618,1.00728,0.7651,0.94003,0.000897548,0.000897548,0.000897548
4,61.5953,0.82972,0.77663,0.94189,0.90518,0.98123,0.95258,0.80988,0.60532,0.63644,0.84967,0.0008515,0.0008515,0.0008515
5,75.5834,0.80232,0.72848,0.93038,0.92242,0.98485,0.95746,0.81085,0.62547,0.60233,0.85201,0.000802,0.000802,0.000802
6,89.5178,0.77948,0.67505,0.93038,0.92009,0.97264,0.94573,0.81253,0.52111,0.61992,0.82332,0.0007525,0.0007525,0.0007525
7,103.585,0.75332,0.60875,0.92019,0.92498,0.99231,0.97139,0.84175,0.55208,0.50156,0.83476,0.000703,0.000703,0.000703
8,119.35,0.72733,0.57087,0.91342,0.91487,0.9769,0.95044,0.82803,0.53478,0.51615,0.82539,0.0006535,0.0006535,0.0006535
9,133.218,0.70474,0.56477,0.90348,0.92958,0.9872,0.96495,0.8456,0.5065,0.48459,0.8198,0.000604,0.000604,0.000604
10,147.19,0.69817,0.53873,0.90406,0.92918,0.9831,0.96673,0.83272,0.55916,0.49082,0.82978,0.0005545,0.0005545,0.0005545
11,161.984,0.67197,0.50286,0.88256,0.92111,0.99029,0.96846,0.84097,0.53665,0.48006,0.82832,0.000505,0.000505,0.000505
12,175.133,0.64187,0.47118,0.86951,0.91501,0.9922,0.96652,0.85541,0.52625,0.45049,0.82418,0.0004555,0.0004555,0.0004555
13,188.37,0.64168,0.45164,0.86886,0.91625,0.99858,0.96136,0.8534,0.49564,0.45652,0.82115,0.000406,0.000406,0.000406
14,201.689,0.61057,0.42892,0.85783,0.92214,0.99376,0.96405,0.8238,0.59331,0.51383,0.84641,0.0003565,0.0003565,0.0003565
15,215.043,0.60684,0.41126,0.85494,0.92021,0.9993,0.96143,0.86014,0.48237,0.4417,0.8197,0.000307,0.000307,0.000307
16,228.402,0.573,0.38854,0.8558,0.92552,0.98746,0.95903,0.84602,0.48303,0.44264,0.81692,0.0002575,0.0002575,0.0002575
17,241.672,0.56818,0.37804,0.84696,0.92529,0.99688,0.97066,0.84998,0.54536,0.43648,0.82657,0.000208,0.000208,0.000208
18,254.947,0.54931,0.36577,0.83835,0.9165,0.99898,0.9635,0.83852,0.54394,0.43743,0.82299,0.0001585,0.0001585,0.0001585
19,268.22,0.54807,0.36195,0.83987,0.91421,0.99427,0.96246,0.8591,0.4897,0.42154,0.81353,0.000109,0.000109,0.000109
20,281.7,0.53641,0.35385,0.83897,0.92375,0.99105,0.96253,0.85843,0.49724,0.41938,0.81785,5.95e-05,5.95e-05,5.95e-05
